1984, de George Orwell
crimen y castigo de fiodor dostoyevski
critica de la razon pura de immanuel kant
cumbres borrascosas de emily bronte
decameron de giovanni boccaccio
diario de ana frank de ana frank
divina comedia de dante alighieri
don quijote de la mancha de miguel de cervantes
el arte de la guerra de sun tzu
el club de los poetas muertos
el codigo da vinci de dan brown
el conde de montecristo de alexandre dumas
el crisol
el cuaderno dorado de doris lessing
el diario de greg 17 de jeff kinney
el extranjero de albert camus
el gran gatsby de f scott fitzgerald
el guardian entre el centeno de jd salinger
el hombre sin atributos de robert musil
el hombre tranquiloel monstruo de colores de anna llenas serra
el nombre de la rosa de umberto eco
el principito de antoine de saint exupery
el proceso de franz kafka
el retrato de dorian gray de oscar wilde
el segundo sexo de simone de beauvoir
el senor de los anillos de jrr tolkien
el viejo y el mar de ernest hemingway
en busca del tiempo perdido de marcel proust
eneida de virgilio
ensayo sobre la ceguera de jose saramago
et el extraterrestre
fausto de johann wolfgang von goethe
footloose
frankenstein de mary shelley
grandes esperanzas de charles dickens
guerra y paz de leon tolstoi
hamlet de william shakespeare
harry potter la saga
harry potter y la piedra filosofal de jk rowling
historia de dos ciudades de charles dickens
iliada de homero
jane eyre
la gran evasion
la metamorfosis de franz kafka
la montana magica de thomas mann
la senora dalloway de virginia woolf
las aventuras de huckleberry finn de mark twain
las mil y una noches
lecciones inolvidables
lo que el viento se llevo de margaret mitchell
lolita de vladimir nabokov
los meses del ano de david monserrat molas
los miserables de victor hugo
madame bovary de gustave flaubert
matar a un ruisenor
matar un ruisenor de harper lee
moby dick
moby dick de herman melville
mujercitas
mujercitas de louisa may alcott
mumin de tove jansson
orgullo y prejuicio
orgullo y prejuicio de jane austen
pedro paramo de juan rulfo
profesor holland
que bello es vivir
romancero gitano de federico garcia lorca
romeo y julieta
superchistes de alex lopez
the catcher in the rye de j d salinger
ulises de james joyce
un besito y a dormir de patricia geis conti
un mar de plasticos de kirsti blom
y esto que es de jurg schubiger
¡Guardias! ¡Guardias! - Mundodisco 8, de Terry Pratchett
¡Piensa! Antes de Que Sea Demasiado Tarde, de Edward de Bono¿Para que sirve la filosofía?, de Darío Sztajnszrajber
¿Qué clase de criaturas somos?, de Noam Chomsky
Ángeles y Demonios, de Dan Brown
Ética para Amador, de Fernando Savater
